,"SC-superconducting, NM-normal, TS-transitional",,,,,,,Beam Parameters,,,Laser Parameters,,,Channel assignments,,,,,,,
Series Number,Type,Voltage (V),#Traces (neutron assumed 3600),Seconds of DAQ,Rad source?,Fridge Temp (mK),PMT Series,Beam Current (nA),Beam B Field (mT),Terminal Voltage (MV),Laser Pulse Freq (MHz),Laser Burst Freq (Hz),Laser Power,CH2&3,CH1,CH4,CHD0 ,CHD1,CHD2,"Bias (percentage, CH2, CH3)",Comment
20190704110350,Beam,100,,2576,Neutron,52,20190704110349,520,198.177,0.94,,,,TES,Triangle,N/C,N/C,N/C,Time sync,"~30%, 1147, 1158",[B]PMT daq crashed around 38 minutes[/B]
20190704114751,Beam,100,,3600,Neutron,52,20190704114753,590,198.177,0.94,,,,TES,Triangle,N/C,N/C,N/C,Time sync,"~30%, 1147, 1158",
20190704125008,Beam,100,,3600,Neutron,52,20190704125011,600,198.181,0.94,,,,TES,Triangle,N/C,N/C,N/C,Time sync,"~30%, 1147, 1158",
20190704135507,Beam,100,,1961,Neutron,52,20190704135508,560,198.18,0.94,,,,TES,Triangle,N/C,N/C,N/C,Time sync,"~30%, 1147, 1158",[B]PMT daq crashed around 1960s[/B]
20190704142803,Beam,100,,2949,Neutron,52,20190704142804,560,198.178,0.94,,,,TES,Triangle,N/C,N/C,N/C,Time sync,"~30%, 1147, 1158",Beam stopped at 2948s
20190704153833,Beam,100,,3600,Neutron,52,20190704153840,560,198.178,0.94,,,,TES,Triangle,N/C,N/C,N/C,Time sync,"~30%, 1147, 1158",
20190704163933,Beam,100,,3600,Neutron,52,20190704163938,570,198.174,0.94,,,,TES,Triangle,N/C,N/C,N/C,Time sync,"~30%, 1147, 1158",
20190704174055,Beam,100,,396,Neutron,52,20190704174058,520,198.18,0.94,,,,TES,Triangle,N/C,N/C,N/C,Time sync,"~30%, 1147, 1158",
20190704174904,Beam,100,,3600,Neutron,52,20190704174908,520,198.18,0.94,,,,TES,Triangle,N/C,N/C,N/C,Time sync,"~30%, 1147, 1158",
20190704185057,Beam,100,,3600,Neutron,52,20190704185057,520,198.173,0.94,,,,TES,Triangle,N/C,N/C,N/C,Time sync,"~30%, 1147, 1158",
20190704195829,Beam,100,,3037,Neutron,52,20190704195835,600,198.179,0.94,,,,TES,Triangle,N/C,N/C,N/C,Time sync,"~30%, 1147, 1158",
20190705092815,IV curve,100,,0,No,52,,,,,,,,TES,Triangle,N/C,N/C,N/C,Time sync,,
20190705093543,SC noise,100,,10,No,52,,,,,,,,TES,Triangle,N/C,N/C,N/C,Time sync,,
20190705094002,NM noise,100,,10,No,52,,,,,,,,TES,Triangle,N/C,N/C,N/C,Time sync,,
20190705094120,TS noise,100,,10,No,52,,,,,,,,TES,Triangle,N/C,N/C,N/C,Time sync,"~30%, 1140, 1152",
20190705094335,Laser,100,,600,No,52,,,,,1,101,40,TES,Triangle,N/C,N/C,N/C,Time sync,"~30%, 1140, 1152",
20190705095408,Laser,100,,1200,No,52,,,,,1,101,20,TES,Triangle,N/C,N/C,N/C,Time sync,"~30%, 1140, 1152",
20190705101747,Laser,100,,1200,No,52,,,,,1,101,10,TES,Triangle,N/C,N/C,N/C,Time sync,"~30%, 1140, 1152",
20190705104052,Laser,100,,118,No,52,,,,,1,101,4,TES,Triangle,N/C,N/C,N/C,Time sync,"~30%, 1140, 1152",
20190705104342,Beam,100,3600,3600,Neutron,52,20190705104347,600,198.173,0.94,,,,TES,Triangle,N/C,N/C,N/C,Time sync,"~30%, 1140, 1152",
20190705114603,Beam,100,,3419,Neutron,52,20190705114606,600,198.18,0.94,,,,TES,Triangle,N/C,N/C,N/C,Time sync,"~30%, 1140, 1152",Only 3420 files
20190705124305,Beam,100,,3600,Neutron,52,20190705124311,550,198.179,0.94,,,,TES,Triangle,N/C,N/C,N/C,Time sync,"~30%, 1140, 1152",
